"SkillsDataID";"Place";"Skill";"Amount";"Rating";"YearCollected"
1;1;18;6;0,0387097;2017
2;1;22;24;0,154839;2017
3;1;67;2;0,0129032;2017
4;1;38;4;0,0258065;2017
5;1;33;29;0,187097;2017
6;1;87;1;0,00645161;2017
7;1;79;41;0,264516;2017
8;1;66;4;0,0258065;2017
9;1;83;8;0,0516129;2017
10;1;21;43;0,277419;2017
11;1;26;26;0,167742;2017
12;1;25;16;0,103226;2017
13;1;65;3;0,0193548;2017
14;1;41;2;0,0129032;2017
15;1;85;1;0,00645161;2017
16;1;40;17;0,109677;2017
17;1;24;3;0,0193548;2017
18;1;82;17;0,109677;2017
19;1;20;74;0,477419;2017
20;1;19;59;0,380645;2017
21;1;73;1;0,00645161;2017
22;1;23;2;0,0129032;2017
23;1;36;8;0,0516129;2017
24;1;27;35;0,225806;2017
25;1;81;41;0,264516;2017
26;1;64;50;0,322581;2017
27;1;34;22;0,141935;2017
32;2;22;7;0,0463576;2017
33;2;67;3;0,0198676;2017
34;2;38;11;0,0728477;2017
35;2;33;31;0,205298;2017
36;2;79;25;0,165563;2017
37;2;66;6;0,0397351;2017
38;2;83;11;0,0728477;2017
39;2;21;26;0,172185;2017
40;2;26;2;0,013245;2017
41;2;25;23;0,152318;2017
42;2;41;3;0,0198676;2017
43;2;40;4;0,0264901;2017
44;2;24;7;0,0463576;2017
45;2;82;2;0,013245;2017
46;2;20;83;0,549669;2017
47;2;19;85;0,562914;2017
48;2;23;1;0,00662252;2017
49;2;36;50;0,331126;2017
50;2;27;13;0,0860927;2017
51;2;81;21;0,139073;2017
52;2;44;12;0,0794702;2017
53;2;37;7;0,0463576;2017
54;2;64;72;0,476821;2017
55;2;34;26;0,172185;2017
63;3;18;2;0,0133333;2017
64;3;22;23;0,153333;2017
65;3;38;10;0,0666667;2017
66;3;33;36;0,24;2017
67;3;87;2;0,0133333;2017
68;3;79;45;0,3;2017
69;3;83;24;0,16;2017
70;3;21;38;0,253333;2017
71;3;26;13;0,0866667;2017
72;3;88;12;0,08;2017
73;3;25;24;0,16;2017
74;3;70;10;0,0666667;2017
75;3;40;1;0,00666667;2017
76;3;24;2;0,0133333;2017
77;3;82;17;0,113333;2017
78;3;47;2;0,0133333;2017
79;3;20;52;0,346667;2017
80;3;19;58;0,386667;2017
81;3;73;3;0,02;2017
82;3;23;12;0,08;2017
83;3;36;38;0,253333;2017
84;3;27;28;0,186667;2017
85;3;84;18;0,12;2017
86;3;81;49;0,326667;2017
87;3;46;1;0,00666667;2017
88;3;37;13;0,0866667;2017
89;3;64;61;0,406667;2017
90;3;34;48;0,32;2017
94;4;22;16;0,153846;2017
95;4;67;1;0,00961538;2017
96;4;38;6;0,0576923;2017
97;4;33;7;0,0673077;2017
98;4;79;14;0,134615;2017
99;4;66;2;0,0192308;2017
100;4;83;6;0,0576923;2017
101;4;21;22;0,211538;2017
102;4;26;6;0,0576923;2017
103;4;25;9;0,0865385;2017
104;4;69;1;0,00961538;2017
105;4;41;4;0,0384615;2017
106;4;40;4;0,0384615;2017
107;4;24;2;0,0192308;2017
108;4;28;2;0,0192308;2017
109;4;47;1;0,00961538;2017
110;4;20;50;0,480769;2017
111;4;19;45;0,432692;2017
112;4;73;1;0,00961538;2017
113;4;23;1;0,00961538;2017
114;4;36;13;0,125;2017
115;4;27;11;0,105769;2017
116;4;42;1;0,00961538;2017
117;4;81;15;0,144231;2017
118;4;44;1;0,00961538;2017
119;4;37;5;0,0480769;2017
120;4;64;36;0,346154;2017
121;4;34;11;0,105769;2017
125;5;22;7;0,0673077;2017
126;5;67;3;0,0288462;2017
127;5;33;6;0,0576923;2017
128;5;79;29;0,278846;2017
129;5;83;6;0,0576923;2017
130;5;21;36;0,346154;2017
131;5;26;6;0,0576923;2017
132;5;25;6;0,0576923;2017
133;5;70;1;0,00961538;2017
134;5;40;2;0,0192308;2017
135;5;28;2;0,0192308;2017
136;5;82;1;0,00961538;2017
137;5;47;1;0,00961538;2017
138;5;20;49;0,471154;2017
139;5;19;48;0,461538;2017
140;5;23;3;0,0288462;2017
141;5;39;1;0,00961538;2017
142;5;36;13;0,125;2017
143;5;27;10;0,0961538;2017
144;5;81;21;0,201923;2017
145;5;46;3;0,0288462;2017
146;5;37;13;0,125;2017
147;5;64;39;0,375;2017
148;5;34;11;0,105769;2017
156;6;18;1;0,0104167;2017
157;6;22;9;0,09375;2017
158;6;67;10;0,104167;2017
159;6;38;7;0,0729167;2017
160;6;33;11;0,114583;2017
161;6;79;30;0,3125;2017
162;6;66;8;0,0833333;2017
163;6;83;13;0,135417;2017
164;6;21;33;0,34375;2017
165;6;26;6;0,0625;2017
166;6;88;2;0,0208333;2017
167;6;80;3;0,03125;2017
168;6;25;13;0,135417;2017
169;6;68;2;0,0208333;2017
170;6;69;1;0,0104167;2017
171;6;65;3;0,03125;2017
172;6;41;1;0,0104167;2017
173;6;85;1;0,0104167;2017
174;6;40;1;0,0104167;2017
175;6;24;2;0,0208333;2017
176;6;28;6;0,0625;2017
177;6;82;10;0,104167;2017
178;6;47;1;0,0104167;2017
179;6;20;55;0,572917;2017
180;6;19;53;0,552083;2017
181;6;73;3;0,03125;2017
182;6;23;3;0,03125;2017
183;6;39;1;0,0104167;2017
184;6;36;21;0,21875;2017
185;6;27;12;0,125;2017
186;6;81;22;0,229167;2017
187;6;44;1;0,0104167;2017
188;6;37;9;0,09375;2017
189;6;64;41;0,427083;2017
190;6;34;9;0,09375;2017
219;7;22;4;0,05;2017
220;7;67;1;0,0125;2017
221;7;38;3;0,0375;2017
222;7;33;17;0,2125;2017
223;7;87;1;0,0125;2017
224;7;79;12;0,15;2017
225;7;66;2;0,025;2017
226;7;83;5;0,0625;2017
227;7;21;16;0,2;2017
228;7;26;1;0,0125;2017
229;7;88;1;0,0125;2017
230;7;25;2;0,025;2017
231;7;68;1;0,0125;2017
232;7;85;1;0,0125;2017
233;7;24;2;0,025;2017
234;7;28;4;0,05;2017
235;7;82;4;0,05;2017
236;7;47;2;0,025;2017
237;7;20;24;0,3;2017
238;7;19;40;0,5;2017
239;7;73;1;0,0125;2017
240;7;23;2;0,025;2017
241;7;36;12;0,15;2017
242;7;27;2;0,025;2017
243;7;81;12;0,15;2017
244;7;46;1;0,0125;2017
245;7;37;4;0,05;2017
246;7;64;28;0,35;2017
247;7;34;5;0,0625;2017
250;8;22;16;0,105263;2017
251;8;67;4;0,0263158;2017
252;8;38;4;0,0263158;2017
253;8;33;13;0,0855263;2017
254;8;87;4;0,0263158;2017
255;8;79;40;0,263158;2017
256;8;66;5;0,0328947;2017
257;8;83;28;0,184211;2017
258;8;21;49;0,322368;2017
259;8;26;4;0,0263158;2017
260;8;88;4;0,0263158;2017
261;8;25;22;0,144737;2017
262;8;41;1;0,00657895;2017
263;8;40;2;0,0131579;2017
264;8;24;2;0,0131579;2017
265;8;28;5;0,0328947;2017
266;8;82;17;0,111842;2017
267;8;47;1;0,00657895;2017
268;8;20;72;0,473684;2017
269;8;19;67;0,440789;2017
270;8;73;2;0,0131579;2017
271;8;23;13;0,0855263;2017
272;8;36;42;0,276316;2017
273;8;27;15;0,0986842;2017
274;8;81;43;0,282895;2017
275;8;44;3;0,0197368;2017
276;8;37;7;0,0460526;2017
277;8;64;49;0,322368;2017
278;8;34;12;0,0789474;2017
279;8;86;1;0,00657895;2017
281;9;18;3;0,0294118;2017
282;9;22;6;0,0588235;2017
283;9;67;1;0,00980392;2017
284;9;38;5;0,0490196;2017
285;9;33;3;0,0294118;2017
286;9;79;19;0,186275;2017
287;9;66;1;0,00980392;2017
288;9;83;13;0,127451;2017
289;9;21;22;0,215686;2017
290;9;26;7;0,0686275;2017
291;9;88;1;0,00980392;2017
292;9;25;7;0,0686275;2017
293;9;41;1;0,00980392;2017
294;9;40;1;0,00980392;2017
295;9;24;2;0,0196078;2017
296;9;28;3;0,0294118;2017
297;9;82;9;0,0882353;2017
298;9;20;44;0,431373;2017
299;9;19;45;0,441176;2017
300;9;23;2;0,0196078;2017
301;9;36;17;0,166667;2017
302;9;27;9;0,0882353;2017
303;9;81;19;0,186275;2017
304;9;37;5;0,0490196;2017
305;9;64;26;0,254902;2017
306;9;34;6;0,0588235;2017
312;10;18;1;0,00649351;2017
313;10;22;6;0,038961;2017
314;10;38;4;0,025974;2017
315;10;33;14;0,0909091;2017
316;10;79;29;0,188312;2017
317;10;66;1;0,00649351;2017
318;10;83;6;0,038961;2017
319;10;21;46;0,298701;2017
320;10;26;2;0,012987;2017
321;10;88;1;0,00649351;2017
322;10;80;1;0,00649351;2017
323;10;25;16;0,103896;2017
324;10;70;1;0,00649351;2017
325;10;41;12;0,0779221;2017
326;10;40;14;0,0909091;2017
327;10;24;6;0,038961;2017
328;10;28;3;0,0194805;2017
329;10;82;7;0,0454545;2017
330;10;20;64;0,415584;2017
331;10;19;74;0,480519;2017
332;10;23;14;0,0909091;2017
333;10;39;1;0,00649351;2017
334;10;36;19;0,123377;2017
335;10;27;17;0,11039;2017
336;10;42;11;0,0714286;2017
337;10;81;33;0,214286;2017
338;10;37;2;0,012987;2017
339;10;64;55;0,357143;2017
340;10;34;25;0,162338;2017
343;11;22;19;0,123377;2017
344;11;67;14;0,0909091;2017
345;11;38;4;0,025974;2017
346;11;33;16;0,103896;2017
347;11;79;35;0,227273;2017
348;11;66;14;0,0909091;2017
349;11;83;18;0,116883;2017
350;11;21;38;0,246753;2017
351;11;26;1;0,00649351;2017
352;11;88;1;0,00649351;2017
353;11;25;10;0,0649351;2017
354;11;41;1;0,00649351;2017
355;11;40;1;0,00649351;2017
356;11;24;3;0,0194805;2017
357;11;28;1;0,00649351;2017
358;11;82;14;0,0909091;2017
359;11;20;73;0,474026;2017
360;11;19;58;0,376623;2017
361;11;73;2;0,012987;2017
362;11;23;4;0,025974;2017
363;11;39;2;0,012987;2017
364;11;36;20;0,12987;2017
365;11;27;25;0,162338;2017
366;11;42;1;0,00649351;2017
367;11;81;33;0,214286;2017
368;11;44;2;0,012987;2017
369;11;37;15;0,0974026;2017
370;11;64;38;0,246753;2017
371;11;34;9;0,0584416;2017
374;12;18;1;0,00980392;2017
375;12;22;5;0,0490196;2017
376;12;67;7;0,0686275;2017
377;12;38;1;0,00980392;2017
378;12;33;8;0,0784314;2017
379;12;79;13;0,127451;2017
380;12;66;1;0,00980392;2017
381;12;83;4;0,0392157;2017
382;12;21;19;0,186275;2017
383;12;26;2;0,0196078;2017
384;12;25;2;0,0196078;2017
385;12;69;2;0,0196078;2017
386;12;41;2;0,0196078;2017
387;12;40;2;0,0196078;2017
388;12;28;4;0,0392157;2017
389;12;82;3;0,0294118;2017
390;12;20;40;0,392157;2017
391;12;19;44;0,431373;2017
392;12;23;1;0,00980392;2017
393;12;39;2;0,0196078;2017
394;12;36;20;0,196078;2017
395;12;27;14;0,137255;2017
396;12;81;16;0,156863;2017
397;12;46;1;0,00980392;2017
398;12;37;2;0,0196078;2017
399;12;64;38;0,372549;2017
400;12;34;16;0,156863;2017
405;13;18;1;0,00649351;2017
406;13;22;8;0,0519481;2017
407;13;67;8;0,0519481;2017
408;13;38;3;0,0194805;2017
409;13;33;7;0,0454545;2017
410;13;87;4;0,025974;2017
411;13;79;23;0,149351;2017
412;13;66;7;0,0454545;2017
413;13;83;13;0,0844156;2017
414;13;21;21;0,136364;2017
415;13;26;4;0,025974;2017
416;13;88;1;0,00649351;2017
417;13;25;6;0,038961;2017
418;13;41;1;0,00649351;2017
419;13;40;2;0,012987;2017
420;13;24;3;0,0194805;2017
421;13;82;8;0,0519481;2017
422;13;20;32;0,207792;2017
423;13;19;33;0,214286;2017
424;13;73;4;0,025974;2017
425;13;23;2;0,012987;2017
426;13;36;13;0,0844156;2017
427;13;27;20;0,12987;2017
428;13;81;25;0,162338;2017
429;13;44;1;0,00649351;2017
430;13;37;7;0,0454545;2017
431;13;64;24;0,155844;2017
432;13;34;9;0,0584416;2017
2078;1;18;5;0,0175439;2016
2079;1;22;33;0,115789;2016
2080;1;67;5;0,0175439;2016
2081;1;38;24;0,0842105;2016
2082;1;33;14;0,0491228;2016
2083;1;79;25;0,0877193;2016
2084;1;66;1;0,00350877;2016
2085;1;83;12;0,0421053;2016
2086;1;21;60;0,210526;2016
2087;1;26;6;0,0210526;2016
2088;1;88;3;0,0105263;2016
2089;1;25;19;0,0666667;2016
2090;1;65;2;0,00701754;2016
2091;1;41;8;0,0280702;2016
2092;1;40;7;0,0245614;2016
2093;1;24;6;0,0210526;2016
2094;1;28;30;0,105263;2016
2095;1;82;2;0,00701754;2016
2096;1;20;90;0,315789;2016
2097;1;19;57;0,2;2016
2098;1;73;1;0,00350877;2016
2099;1;23;5;0,0175439;2016
2100;1;36;33;0,115789;2016
2101;1;27;3;0,0105263;2016
2102;1;42;4;0,0140351;2016
2103;1;81;17;0,0596491;2016
2104;1;46;10;0,0350877;2016
2105;1;37;5;0,0175439;2016
2106;1;64;54;0,189474;2016
2107;1;34;12;0,0421053;2016
2109;2;18;6;0,0075188;2016
2110;2;22;146;0,182957;2016
2111;2;67;12;0,0150376;2016
2112;2;38;11;0,0137845;2016
2113;2;33;142;0,177945;2016
2114;2;87;4;0,00501253;2016
2115;2;79;218;0,273183;2016
2116;2;66;15;0,018797;2016
2117;2;83;30;0,037594;2016
2118;2;21;302;0,378446;2016
2119;2;26;23;0,0288221;2016
2120;2;88;14;0,0175439;2016
2121;2;80;1;0,00125313;2016
2122;2;25;111;0,139098;2016
2123;2;70;1;0,00125313;2016
2124;2;69;2;0,00250627;2016
2125;2;65;1;0,00125313;2016
2126;2;41;21;0,0263158;2016
2127;2;85;6;0,0075188;2016
2128;2;40;29;0,0363409;2016
2129;2;24;134;0,16792;2016
2130;2;28;10;0,0125313;2016
2131;2;82;23;0,0288221;2016
2132;2;47;3;0,0037594;2016
2133;2;20;308;0,385965;2016
2134;2;19;301;0,377193;2016
2135;2;73;7;0,00877193;2016
2136;2;23;30;0,037594;2016
2137;2;39;1;0,00125313;2016
2138;2;36;222;0,278196;2016
2139;2;27;11;0,0137845;2016
2140;2;42;21;0,0263158;2016
2141;2;84;1;0,00125313;2016
2142;2;81;41;0,0513784;2016
2143;2;46;6;0,0075188;2016
2144;2;44;3;0,0037594;2016
2145;2;37;145;0,181704;2016
2146;2;64;163;0,204261;2016
2147;2;34;28;0,0350877;2016
2148;2;86;3;0,0037594;2016
2172;3;22;16;0,0446927;2016
2173;3;38;2;0,00558659;2016
2174;3;33;92;0,256983;2016
2175;3;79;86;0,240223;2016
2176;3;83;42;0,117318;2016
2177;3;21;39;0,108939;2016
2178;3;26;2;0,00558659;2016
2179;3;88;9;0,0251397;2016
2180;3;25;102;0,284916;2016
2181;3;24;26;0,0726257;2016
2182;3;28;2;0,00558659;2016
2183;3;82;45;0,125698;2016
2184;3;47;1;0,0027933;2016
2185;3;20;73;0,203911;2016
2186;3;19;140;0,391061;2016
2187;3;73;28;0,0782123;2016
2188;3;23;2;0,00558659;2016
2189;3;36;109;0,304469;2016
2190;3;27;2;0,00558659;2016
2191;3;84;3;0,00837989;2016
2192;3;81;36;0,100559;2016
2193;3;64;151;0,421788;2016
2194;3;34;41;0,114525;2016
2203;8;18;9;0,0027582;2016
2204;8;22;681;0,208704;2016
2205;8;67;11;0,00337113;2016
2206;8;38;52;0,0159363;2016
2207;8;33;980;0,300337;2016
2208;8;87;3;0,000919399;2016
2209;8;79;520;0,159363;2016
2210;8;66;28;0,00858106;2016
2211;8;83;158;0,0484217;2016
2212;8;21;637;0,195219;2016
2213;8;26;97;0,0297272;2016
2214;8;88;5;0,00153233;2016
2215;8;80;2;0,000612933;2016
2216;8;25;107;0,0327919;2016
2217;8;70;1;0,000306466;2016
2218;8;41;9;0,0027582;2016
2219;8;85;2;0,000612933;2016
2220;8;40;25;0,00766166;2016
2221;8;24;324;0,0992951;2016
2222;8;28;108;0,0330984;2016
2223;8;82;49;0,0150169;2016
2224;8;47;69;0,0211462;2016
2225;8;20;982;0,30095;2016
2226;8;19;1121;0,343549;2016
2227;8;73;4;0,00122587;2016
2228;8;23;63;0,0193074;2016
2229;8;36;262;0,0802942;2016
2230;8;27;112;0,0343242;2016
2231;8;42;9;0,0027582;2016
2232;8;84;4;0,00122587;2016
2233;8;81;138;0,0422924;2016
2234;8;46;17;0,00520993;2016
2235;8;44;225;0,068955;2016
2236;8;37;85;0,0260496;2016
2237;8;64;841;0,257738;2016
2238;8;34;53;0,0162427;2016
2239;8;86;1;0,000306466;2016
2266;11;18;186;0,0631365;2016
2267;11;22;319;0,108282;2016
2268;11;67;32;0,0108622;2016
2269;11;38;37;0,0125594;2016
2270;11;33;172;0,0583843;2016
2271;11;79;1047;0,355397;2016
2272;11;66;35;0,0118805;2016
2273;11;83;725;0,246096;2016
2274;11;21;933;0,316701;2016
2275;11;26;81;0,0274949;2016
2276;11;88;11;0,00373388;2016
2277;11;80;2;0,000678887;2016
2278;11;25;150;0,0509165;2016
2279;11;70;4;0,00135777;2016
2280;11;65;2;0,000678887;2016
2281;11;41;9;0,00305499;2016
2282;11;85;5;0,00169722;2016
2283;11;40;197;0,0668703;2016
2284;11;24;236;0,0801086;2016
2285;11;28;46;0,0156144;2016
2286;11;82;457;0,155126;2016
2287;11;71;2;0,000678887;2016
2288;11;47;5;0,00169722;2016
2289;11;20;1249;0,423965;2016
2290;11;19;1229;0,417176;2016
2291;11;73;21;0,00712831;2016
2292;11;23;101;0,0342838;2016
2293;11;39;2;0,000678887;2016
2294;11;36;349;0,118466;2016
2295;11;27;252;0,0855397;2016
2296;11;42;7;0,0023761;2016
2297;11;84;172;0,0583843;2016
2298;11;81;560;0,190088;2016
2299;11;46;192;0,0651731;2016
2300;11;44;10;0,00339443;2016
2301;11;43;4;0,00135777;2016
2302;11;37;83;0,0281738;2016
2303;11;64;958;0,325187;2016
2304;11;34;251;0,0852003;2016
2305;11;86;2;0,000678887;2016
2329;10;18;3;0,00181378;2016
2330;10;22;121;0,073156;2016
2331;10;67;25;0,0151149;2016
2332;10;38;28;0,0169287;2016
2333;10;33;124;0,0749698;2016
2334;10;79;170;0,102781;2016
2335;10;66;11;0,00665054;2016
2336;10;83;142;0,0858525;2016
2337;10;21;424;0,256348;2016
2338;10;26;96;0,0580411;2016
2339;10;88;19;0,0114873;2016
2340;10;80;3;0,00181378;2016
2341;10;25;59;0,0356711;2016
2342;10;70;1;0,000604595;2016
2343;10;41;5;0,00302297;2016
2344;10;40;5;0,00302297;2016
2345;10;24;90;0,0544135;2016
2346;10;28;95;0,0574365;2016
2347;10;82;57;0,0344619;2016
2348;10;47;9;0,00544135;2016
2349;10;20;384;0,232164;2016
2350;10;19;431;0,26058;2016
2351;10;73;4;0,00241838;2016
2352;10;23;110;0,0665054;2016
2353;10;39;4;0,00241838;2016
2354;10;36;168;0,101572;2016
2355;10;27;38;0,0229746;2016
2356;10;42;5;0,00302297;2016
2357;10;81;211;0,12757;2016
2358;10;46;4;0,00241838;2016
2359;10;44;1;0,000604595;2016
2360;10;37;102;0,0616687;2016
2361;10;64;268;0,162031;2016
2362;10;34;56;0,0338573;2016
2363;10;86;2;0,00120919;2016
